#tag tab name

__TAG__Vca_FaceLib_Nation38	Xibozu
__TAG__Vca_FaceLib_Nation39	Achangzu
__TAG__Vca_FaceLib_Nation40	Pumizu
__TAG__Vca_FaceLib_Nation41	Tajikezu
__TAG__Vca_FaceLib_Nation42	Nuzu
__TAG__Vca_FaceLib_Nation43	Wuzibiekezu
__TAG__Vca_FaceLib_Nation44	Eluosizu
__TAG__Vca_FaceLib_Nation45	Ewenkezu
__TAG__Vca_FaceLib_Nation46	Deangzu
__TAG__Vca_FaceLib_Nation47	Baoanzu
__TAG__Vca_FaceLib_Nation48	Yuguzu
__TAG__Vca_FaceLib_Nation49	Jingzu
__TAG__Vca_FaceLib_Nation50	Tataerzu
__TAG__Vca_FaceLib_Nation51	Dulongzu
__TAG__Vca_FaceLib_Nation52	Elunchunzu
__TAG__Vca_FaceLib_Nation53	Hezhezu
__TAG__Vca_FaceLib_Nation54	Menbazu
__TAG__Vca_FaceLib_Nation55	Luobazu
__TAG__Vca_FaceLib_Nation56	Nuojizu
